symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
016880,,웅진,2025,2025-12-31,2026-06-18,2095.0,167400000000.0,KRW,general,일반,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,general,일반형,회사 본부 및 경영 컨설팅 서비스업,industry,10,5347440026503.0,5011362623765.0,336077402738.0,114381099710.0,78114435118.0,1150691499139.0,1.46,0.5,34.03,1491.13,6.79,4.69,0.38,5.02,241.54,4.81,68.8,-29.75,29.01,-517.36,1.98,25,25,25,25,0,25,25,25,0,15,75,75.0,100.0,22.22,0.0,0.0,22.22,20,11,11
101390,,아이엠,2025,2025-12-31,2026-06-18,396.0,6700000000.0,KRW,general,일반,코스닥시장상장법인,262,전자 부품 제조업,manufacturing,제조업형,전자 부품 제조업,industry,118,61795240413.0,56902952377.0,4892288036.0,-9777700267.0,-8558874586.0,91765421849.0,,1.37,-199.86,1163.12,-9.33,53.9,2.36,-8.17,105.52,-4.95,,42.03,-191.69,-1002.25,-4.37,25,20,20,15,20,0,15,0,0,0,15,12.0,0.0,47.41,100.0,0.0,81.25,35,11,11
214270,,FSN,2025,2025-12-31,2026-06-18,1461.0,66100000000.0,KRW,general,일반,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,it_software,IT/소프트웨어형,소프트웨어 개발 및 공급업,industry,148,379267320824.0,285156223703.0,94111097121.0,-15863077578.0,30518488142.0,272289535445.0,,0.7,-16.86,303.0,11.21,414.32,9.66,-17.27,81.99,-23.81,,92.73,0.42,-269.55,35.02,10,10,25,15,40,0,20,0,0,20,20,40.0,0.0,70.75,79.45,3.4,21.68,25,11,11
278470,,에이피알,2025,2025-12-31,2026-06-18,378000.0,14151600000000.0,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,manufacturing,제조업형,기타 화학제품 제조업,industry,71,771737546894.0,325937736580.0,445799810314.0,289654813287.0,365520628934.0,1527344973381.0,48.86,31.74,64.97,73.11,23.93,236.75,23.81,1.81,80.43,-5.33,79.36,-33.33,63.17,9.1,29.27,25,20,20,15,20,0,0,25,25,25,50,55.0,15.69,1.43,0.0,42.86,0.0,0,11,11
298040,,효성중공업,2025,2025-12-31,2026-06-18,3693000.0,34435600000000.0,KRW,general,일반,유가증권시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",manufacturing,제조업형,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",industry,31,7227883006296.0,4738162049013.0,2489720957283.0,502837667965.0,,,68.48,13.83,20.2,190.31,,52.78,4.71,-2.31,109.35,-10.05,-29.76,-193.69,22.5,-74.04,,25,20,20,15,20,0,0,25,10,0,35,26.0,21.05,10.34,10.34,10.34,0.0,0,11,11
006490,,인스코비,2025,2025-12-31,2026-06-18,299.0,44200000000.0,KRW,general,일반,유가증권시장상장법인,612,전기 통신업,general,일반형,전기 통신업,industry,13,60461090234.0,44395288398.0,16065801836.0,-41682609189.0,4078599684.0,105558023911.0,,2.75,-259.45,276.33,3.86,17.64,1.1,-15.05,91.4,5.71,,-151.24,-244.4,-202.33,-1.85,25,25,25,25,0,0,5,0,5,5,10,10.0,0.0,0.0,100.0,0.0,66.67,15,10,10
014130,,한익스프레스,2025,2025-12-31,2026-06-18,2340.0,28100000000.0,KRW,general,일반,유가증권시장상장법인,493,도로 화물 운송업,general,일반형,도로 화물 운송업,industry,6,401226872529.0,315006144091.0,86220728438.0,-14676905411.0,-3620172011.0,629822023537.0,,0.33,-17.02,365.35,-0.57,57.08,0.29,0.8,151.78,2.3,,-12.31,-17.82,-140.71,-2.88,25,25,25,25,0,0,25,0,0,0,25,25.0,0.0,40.0,100.0,0.0,100.0,25,10,10
027740,,마니커,2025,2025-12-31,2026-06-18,1320.0,41900000000.0,KRW,general,일반,유가증권시장상장법인,101,"도축, 육류 가공 및 저장 처리업",general,일반형,"도축, 육류 가공 및 저장 처리업",industry,6,155490054936.0,113924113897.0,41565941039.0,-317490159.0,2010730651.0,368890857923.0,,1.01,-0.76,274.08,0.55,5.56,0.55,9.16,119.53,5.08,,-82.95,-9.92,-129.31,-4.54,25,25,25,25,0,0,15,0,5,5,20,20.0,0.0,0.0,100.0,0.0,100.0,15,10,10
064350,,현대로템,2025,2025-12-31,2026-06-18,211500.0,23083600000000.0,KRW,general,일반,유가증권시장상장법인,312,철도장비 제조업,manufacturing,제조업형,제조업형,model,1160,9318033774000.0,6276800158000.0,3041233616000.0,770492199000.0,1005640509000.0,5839031553000.0,29.96,7.59,25.33,206.39,17.22,59.47,1.53,-2.84,123.3,1.66,49.62,-395.91,28.17,-67.39,15.56,25,20,20,15,20,5,0,25,5,20,35,44.0,25.0,6.52,0.0,8.7,4.88,0,10,10
076610,,해성옵틱스,2025,2025-12-31,2026-06-18,1205.0,67900000000.0,KRW,general,일반,코스닥시장상장법인,273,사진장비 및 광학 기기 제조업,manufacturing,제조업형,사진장비 및 광학 기기 제조업,industry,12,145775808637.0,117524974430.0,28250834207.0,,-6736974833.0,160334996562.0,,2.4,,416.01,-4.2,35.08,3.37,-15.96,171.7,-24.67,,28.68,,-142.29,20.47,25,20,20,15,20,0,5,0,0,0,5,4.0,0.0,36.36,0.0,9.09,54.55,10,10,10
099190,,아이센스,2025,2025-12-31,2026-06-18,16160.0,464700000000.0,KRW,general,일반,코스닥시장상장법인,271,의료용 기기 제조업,manufacturing,제조업형,의료용 기기 제조업,industry,52,577662983387.0,239341941926.0,338321041461.0,-6690635026.0,,,,1.37,-1.98,70.74,,48.15,3.31,-16.71,62.1,-87.03,,58.49,14.73,-13.92,,25,20,20,15,20,0,15,0,25,0,40,27.0,0.0,46.0,59.18,24.0,0.0,15,10,10
112610,,씨에스윈드,2025,2025-12-31,2026-06-18,44600.0,1880800000000.0,KRW,general,일반,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,16,3216594965195.0,2014922275678.0,1201672689517.0,40133098937.0,320323178301.0,2931648581449.0,46.86,1.57,3.34,167.68,10.93,21.2,0.87,-4.07,88.32,-27.42,-121.01,-80.5,7.41,-89.84,38.34,25,20,20,15,20,0,10,5,10,20,25,34.0,0.0,13.33,20.0,13.33,7.14,0,10,10
139990,,아주스틸,2025,2025-12-31,2026-06-18,2270.0,88000000000.0,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,manufacturing,제조업형,1차 철강 제조업,industry,43,1005925873272.0,861506701402.0,144419171870.0,-41150968578.0,-25565892498.0,1085603129063.0,,0.61,-28.49,596.53,-2.35,148.58,0.61,-1.96,98.76,1.59,,-0.05,-26.53,-504.02,-3.95,25,20,20,15,20,0,20,0,0,0,20,16.0,0.0,40.48,95.24,0.0,89.47,35,10,10
