symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
000030,,우리은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,502846196000000.0,473158744000000.0,29687452000000.0,2582099000000.0,3520742000000.0,
004940,,하나은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,557034482000000.0,520961056000000.0,36073426000000.0,3763019000000.0,5009792000000.0,
005270,,아이엠뱅크,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,76104111552207.0,70838926944015.0,5265184608192.0,389490109167.0,489240400685.0,
005280,,부산은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,83866493926285.0,77973427592001.0,5893066334284.0,439257261605.0,503414952215.0,
006220,,제주은행,2025,2025-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,8019927000000.0,7372657000000.0,647270000000.0,13930000000.0,9934000000.0,
006350,,전북은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,26297762000000.0,23948943000000.0,2348819000000.0,228744000000.0,286737000000.0,
016830,,한국씨티은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,46300929000000.0,40736370000000.0,5564559000000.0,307096000000.0,397025000000.0,
024110,,기업은행,2025,2025-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,500692621000000.0,463836597000000.0,36856024000000.0,2718868000000.0,3655589000000.0,
060000,,국민은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,584934967000000.0,545979326000000.0,38955641000000.0,3824819000000.0,5720776000000.0,
192520,,경남은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,54733009608310.0,51109338190499.0,3623671417811.0,292841690782.0,357505944257.0,
192530,,광주은행,2025,2025-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,34434773498821.0,32025556811958.0,2409216686863.0,272580143790.0,358137377051.0,
008270,,산은캐피탈,2025,2025-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,12667390668116.0,10609924024627.0,2057466643489.0,336931776575.0,,
021880,,메이슨캐피탈,2025,2025-03-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,69181676736.0,14189047347.0,54992629389.0,-10545829677.0,-10097939629.0,
021960,,케이비캐피탈,2025,2025-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,18187513221612.0,15489433819738.0,2698079401874.0,237038628084.0,,
023760,,한국캐피탈,2025,2025-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,5155850351292.0,4401705086821.0,754145264471.0,100521650960.0,,
026890,,스틱인베스트먼트,2025,2025-12-31,KRW,finance,금융기타,유가증권시장상장법인,642,신탁업 및 집합 투자업,305789875428.0,51519986178.0,254269889250.0,14855602741.0,,
027360,,아주IB투자,2025,2025-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,338305070078.0,71435587125.0,266869482953.0,8318264516.0,,
029780,,삼성카드,2025,2025-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,32174782000000.0,23311498000000.0,8863284000000.0,645923000000.0,,
032710,,신한카드,2025,2025-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,43186732000000.0,34686850000000.0,8499882000000.0,480205000000.0,,
033660,,우리금융캐피탈,2025,2025-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,12361365760974.0,10523677873923.0,1837687887051.0,148727385263.0,,
