symbol,price_date,price,market_cap
006220,2026-06-18,12010.0,454000000000.0
024110,2026-06-18,21850.0,17423800000000.0
021880,2026-06-18,136.0,28900000000.0
023760,2026-06-18,716.0,226000000000.0
026890,2026-06-18,6820.0,264400000000.0
027360,2026-06-18,6480.0,785000000000.0
029780,2026-06-18,49600.0,5746600000000.0
034830,2026-06-18,1240.0,313100000000.0
041190,2026-06-18,5540.0,465400000000.0
055550,2026-06-18,100800.0,47845200000000.0
071050,2026-06-18,230500.0,12844800000000.0
086790,2026-06-18,126100.0,34597800000000.0
100790,2026-06-18,25500.0,1354700000000.0
105560,2026-06-18,163100.0,57849600000000.0
123890,2026-06-18,2350.0,287600000000.0
138040,2026-06-18,112200.0,18776400000000.0
138930,2026-06-18,17730.0,5502100000000.0
139130,2026-06-18,17300.0,2778800000000.0
175330,2026-06-18,26600.0,5007500000000.0
246690,2026-06-18,1317.0,62600000000.0
289080,2026-06-18,2310.0,138900000000.0
293580,2026-06-18,1609.0,152700000000.0
316140,2026-06-18,31550.0,23160100000000.0
000020,2026-06-18,5190.0,145000000000.0
000040,2026-06-18,335.0,28900000000.0
000050,2026-06-18,8450.0,231700000000.0
000070,2026-06-18,54500.0,423100000000.0
000080,2026-06-18,15630.0,1096200000000.0
000100,2026-06-18,78200.0,6228400000000.0
000120,2026-06-18,81400.0,1856900000000.0
000140,2026-06-18,8290.0,192400000000.0
000150,2026-06-18,1634000.0,26460700000000.0
000180,2026-06-18,5170.0,72100000000.0
000210,2026-06-18,52400.0,1098100000000.0
000220,2026-06-18,3965.0,67500000000.0
000230,2026-06-18,7000.0,80800000000.0
000240,2026-06-18,24650.0,2340200000000.0
000250,2026-06-18,263000.0,6169300000000.0
000270,2026-06-18,158800.0,61997600000000.0
000300,2026-06-18,4200.0,174000000000.0
000320,2026-06-18,17950.0,238600000000.0
000390,2026-06-18,6560.0,178500000000.0
000430,2026-06-18,4635.0,287400000000.0
000440,2026-06-18,14320.0,89200000000.0
000480,2026-06-18,4755.0,223000000000.0
000490,2026-06-18,7870.0,226900000000.0
000500,2026-06-18,385500.0,6377400000000.0
000520,2026-06-18,7050.0,152900000000.0
000590,2026-06-18,75300.0,86900000000.0
000640,2026-06-18,84200.0,566900000000.0
000660,2026-06-18,2685000.0,1913605900000000.0
000670,2026-06-18,46000.0,846900000000.0
000680,2026-06-18,3050.0,240300000000.0
000700,2026-06-18,5800.0,151000000000.0
000720,2026-06-18,133200.0,14832600000000.0
000760,2026-06-18,12380.0,34700000000.0
000850,2026-06-18,32750.0,72100000000.0
000860,2026-06-18,13050.0,169700000000.0
000880,2026-06-18,120900.0,8524400000000.0
000910,2026-06-18,3125.0,48800000000.0
000950,2026-06-18,26350.0,44300000000.0
000970,2026-06-18,6640.0,151400000000.0
000990,2026-06-18,154500.0,6721500000000.0
001020,2026-06-18,2270.0,80800000000.0
001040,2026-06-18,183500.0,5354000000000.0
001060,2026-06-18,27250.0,634500000000.0
001070,2026-06-18,5880.0,31200000000.0
001120,2026-06-18,38000.0,1472900000000.0
001130,2026-06-18,11740.0,198400000000.0
001210,2026-06-18,504.0,31200000000.0
001230,2026-06-18,2015.0,313300000000.0
001250,2026-06-18,3015.0,248800000000.0
001260,2026-06-18,8580.0,84400000000.0
001340,2026-06-18,5840.0,263000000000.0
001380,2026-06-18,1475.0,33200000000.0
001390,2026-06-18,4490.0,301900000000.0
001430,2026-06-18,43200.0,1549200000000.0
001440,2026-06-18,39500.0,7741700000000.0
001460,2026-06-18,35400.0,221100000000.0
001470,2026-06-18,347.0,79700000000.0
