symbol,name,reason
054340,피앤텔,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
054630,에이디칩스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
057500,에스케이엔펄스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
057880,피에이치씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
058530,파나케이아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
064510,유네코,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
065160,라임,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
065560,녹원씨엔아이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068060,케이씨더블류,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068400,에스케이렌터카,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068420,엔터미디어,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
069110,코스온,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
071460,위니아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
072520,제넨바이오,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
078650,지나인제약,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
078940,퀀타피아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
080000,에스엔유,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
085370,루트로닉,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
089530,에이티세미콘,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
090120,잘만테크,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
090740,연이비앤티,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
091090,세원이앤씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
093230,이아이디,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
094190,이엘케이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
096040,이트론,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
096640,멜파스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
102280,쌍방울,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
103160,풀무원식품,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
111870,KH 전자,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
112240,에스에프씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
114120,크루셜텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
115390,락앤락,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
115960,연우,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
119860,커넥트웨이브,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
126870,뉴로스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
134780,에스엠화진,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
136510,스마트솔루션즈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
138490,코오롱플라스틱,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
138580,비즈니스온,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
138690,엘아이에스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
139050,BF랩스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
148140,비디아이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
150840,인트로메딕,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
151910,SBW생명과학,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
158310,참존글로벌,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
160600,이큐셀,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
161570,THE MIDONG,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
164060,이루다,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
174880,장원테크,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
181340,이즈미디어,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
194510,넥스쳐,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
204210,스타리츠,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=7826815"
204630,스튜디오산타클로스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
208340,파멥신,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
214310,에스엘에너지,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
214870,뉴지랩파마,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
222810,세토피아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
226350,아이엠텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
226360,KH 건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
226440,한송네오텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
230980,비유테크놀러지,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
268600,셀리버리,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
282690,동아타이어,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
287410,제이시스메디칼,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
298870,우리벤처파트너스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
299910,베스파,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
323230,엠에프엠코리아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
450140,코오롱모빌리티그룹,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
900280,골든센츄리,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
950110,SBI핀테크솔루션즈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
000060,메리츠화재해상보험,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
002550,KB손해보험,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
003450,케이비증권,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
008560,메리츠증권,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
008670,신한투자증권,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
