symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
003030,,세아제강지주,2023,2023-12-31,2026-06-19,127400.0,527600000000.0,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,general,일반형,기타 금융업,industry,84,4340755996109.0,1951857663889.0,2388898332220.0,409652266510.0,590946429587.0,3913342472741.0,1.29,0.22,17.15,81.71,15.1,121.17,4.48,4.61,214.41,4.47,98.94,95.07,12.54,61.89,10.63,25,25,25,25,0,25,25,25,25,22.55,100,100,97.3,82.53,95.12,51.81,85.71,0,82,100
003960,,사조대림,2023,2023-12-31,2026-06-19,26800.0,245600000000.0,KRW,general,일반,유가증권시장상장법인,102,수산물 가공 및 저장 처리업,general,일반형,일반형,model,531,1262971666006.0,552092559042.0,710879106964.0,107150333560.0,128637166378.0,2063074655686.0,2.29,0.35,15.07,77.66,6.24,13.84,18.83,-4.46,117.95,-0.74,83.44,98.17,19.54,34.15,6.98,25,25,25,25,0,25,25,25,25,16.24,100,100,97.92,75.66,94.74,56.58,70.77,0,81,100
009970,,영원무역홀딩스,2023,2023-12-31,2026-06-19,174800.0,2264300000000.0,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,general,일반형,기타 금융업,industry,84,6379343146101.0,1799444219558.0,4579898926543.0,718736627040.0,,,3.15,0.49,15.69,39.29,,121.17,4.48,4.61,214.41,4.47,97.4,88.96,11.08,81.68,,25,25,25,25,0,25,25,25,25,0,100,100,87.84,53.01,93.9,66.27,0,0,75,100
018310,,삼목에스폼,2023,2023-12-31,2026-06-19,14460.0,212600000000.0,KRW,general,일반,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,16,740156523219.0,165168410431.0,574988112788.0,119380219211.0,124131729083.0,439386985136.0,1.78,0.37,20.76,28.73,28.25,19.98,1.28,-5.88,125.16,5.27,91.09,71.01,26.64,77.05,22.98,25,20,20,15,20,25,25,25,25,25,100,100,80,76.67,80,93.33,100,0,85,100
035610,,솔본,2023,2023-12-31,2026-06-19,3500.0,95700000000.0,KRW,general,일반,코스닥시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,general,일반형,회사 본부 및 경영 컨설팅 서비스업,industry,12,275835991994.0,44854893682.0,230981098312.0,48895126694.0,31759409160.0,123382776486.0,1.96,0.41,21.17,19.42,25.74,7.34,0.4,5.46,114.24,5.92,73.33,-3.48,15.71,83.0,19.82,25,25,25,25,0,25,25,25,25,25,100,100,85.71,27.27,90.91,90.91,100,0,74,100
036220,,오상헬스케어,2023,2023-12-31,2026-06-19,6150.0,88000000000.0,KRW,general,일반,코스닥시장상장법인,213,의료용품 및 기타 의약 관련제품 제조업,manufacturing,제조업형,의료용품 및 기타 의약 관련제품 제조업,industry,23,320546708566.0,27256040100.0,293290668466.0,116664689672.0,142827493353.0,355846882565.0,0.75,0.3,39.78,9.29,40.14,212.91,10.64,-14.78,58.89,-106.6,99.65,97.18,54.56,84.22,146.74,25,20,20,15,20,25,25,25,25,25,100,100,100,93.18,100,90.91,100,0,97,100
038010,,제일테크노스,2023,2023-12-31,2026-06-19,5940.0,53500000000.0,KRW,general,일반,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,16,195450551414.0,81700928079.0,113749623335.0,26048029783.0,36225506696.0,267641196279.0,2.05,0.47,22.9,71.83,13.54,19.98,1.28,-5.88,125.16,5.27,89.72,63.12,28.78,42.61,8.27,25,20,20,15,20,25,25,25,25,21.77,100,97.42,70,53.33,93.33,66.67,92.86,0,75,100
043590,,웰킵스하이텍,2023,2023-12-31,2026-06-19,997.0,13500000000.0,KRW,general,일반,코스닥시장상장법인,261,반도체 제조업,manufacturing,제조업형,반도체 제조업,industry,47,46082687599.0,3438230692.0,42644456907.0,9122489288.0,293147974.0,20230592910.0,1.48,0.32,21.39,8.06,1.45,277.85,3.9,-15.91,89.9,-11.22,99.47,91.88,37.3,91.03,12.66,25,20,20,15,20,25,25,25,25,4.35,100,83.48,100,94.57,97.83,95.65,58.54,0,90,100
046310,,백금T&A,2023,2023-12-31,2026-06-19,2035.0,33400000000.0,KRW,general,일반,코스닥시장상장법인,264,통신 및 방송 장비 제조업,manufacturing,제조업형,통신 및 방송 장비 제조업,industry,50,139344947875.0,41296296720.0,98048651155.0,18683426462.0,17094548304.0,170733617690.0,1.79,0.34,19.06,42.12,10.01,39.22,1.8,-10.67,82.35,-9.98,95.44,81.12,29.73,48.86,19.99,25,20,20,15,20,25,25,25,25,20.01,100,96.01,100,88.54,100,47.92,93.62,0,89,100
085310,,엔케이,2023,2023-12-31,2026-06-19,9500.0,70500000000.0,KRW,general,일반,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,16,247666086117.0,62956180856.0,184709905261.0,59156274919.0,-1104109608.0,91535244729.0,1.19,0.38,32.03,34.08,-1.21,19.98,1.28,-5.88,125.16,5.27,94.04,70.07,37.9,72.77,-6.47,25,20,20,15,20,25,25,25,25,0,100,80,100,66.67,100,86.67,14.29,0,74,100
