재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_BondsIssued	            사채	16,445,000,245,415	14,121,864,931,956	13,035,410,243,817
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_Borrowings	            차입부채	11,445,551,360,648	11,301,497,163,383	8,815,875,801,992
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_CurrentTaxLiabilities	            당기법인세부채	151,485,760,812	85,702,235,117	37,920,784,422
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	47,133,340,570	80,436,067,381	45,507,945,394
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_DepositsFromCustomers	            예수부채	113,477,945,211,456	107,855,429,676,240	106,761,233,673,401
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialLiabilities	            파생상품부채	271,880,503,800	351,030,063,789	122,131,978,925
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss	            당기손익-공정가치 측정 금융부채	1,957,513,500,526	2,125,900,458,344	1,108,861,986,299
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_Liabilities	            부채총계	149,853,571,948,424	141,322,916,379,933	135,109,931,812,961
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_Provisions	            충당부채	93,817,683,141	106,676,331,522	191,745,931,727
 재무상태표, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan	            순확정급여부채	1,995,537,786	4,285,616,534	3,487,663,508
 재무상태표, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	dart_InstallmentFinancialAssets	         할부금융자산	541,150,026,791	506,985,604,963	439,146,539,749
 재무상태표, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	dart_LeasedAssets	         리스자산	2,256,934,773,313	2,084,316,310,529	1,805,063,004,884
 재무상태표, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	dart_SecuritiesAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	343,277,193,607	376,650,737,156	376,619,197,289
 재무상태표, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	10,502,095,326,020	10,012,942,720,058	8,972,818,058,364
