재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00168933_VariableinsurancecontractsissuedthatareliabilitiesofinterestbearingliabilitiesofinterestrateriskexposuretableofitemsOfInsuranceContractsIssuedThatAreLiabilities	               변액보험계약부채	1,245,246,464,257	1,031,911,360,619	931,586,422,919
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InvestmentContractsLiabilities	            투자계약부채	1,083,313,751,542	786,320,397,426	479,919,267,040
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_Liabilities	            부채총계	10,963,437,264,066	10,108,409,311,988	8,533,166,076,628
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_OtherNonfinancialLiabilities	            기타부채	130,587,331,958	109,341,878,578	93,356,123,556
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ReinsuranceContractsHeldThatAreLiabilities	            재보험계약부채	56,916,682,053	49,221,141,224	39,443,621,818
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	74,022,307,000,000	66,506,137,000,000	60,040,428,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_CashAndCashEquivalents	         현금및현금성자산	1,713,419,000,000	1,186,537,000,000	1,217,373,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_CurrentTaxAssets	         당기법인세자산	43,476,000,000	34,178,000,000	27,783,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	9,190,000,000	13,816,000,000	6,480,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssets	         파생상품자산	104,695,000,000	211,983,000,000	318,785,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	            위험회피목적파생상품자산	101,870,000,000	211,983,000,000	315,090,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForTrading	            단기매매 파생금융자산	2,825,000,000	0	3,695,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	21,001,872,000,000	18,938,351,000,000	16,544,002,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	28,296,401,000,000	29,543,035,000,000	26,193,319,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	17,575,565,000,000	11,520,926,000,000	10,947,848,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InsuranceContractsIssuedThatAreAssets	         보험계약자산	765,280,000,000	693,051,000,000	480,183,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00159102_DividendInsuranceContractsIssuedThatAreAssetsOfInsuranceContractsIssuedThatAreAssets	            유배당보험계약자산	0	0	0
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	entity00159102_NonDividendInsuranceContractsIssuedThatAreAssetsOfInsuranceContractsIssuedThatAreAssets	            무배당보험계약자산	765,280,000,000	693,051,000,000	480,183,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	156,053,000,000	180,320,000,000	136,911,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InvestmentAccountedForUsingEquityMethod	         관계종속기업투자자산	457,721,000,000	385,927,000,000	354,100,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	1,460,450,000,000	1,453,492,000,000	1,020,646,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	114,170,000,000	99,341,000,000	250,256,000,000
 재무상태표, 보험 - 연결	[005830]	DB손해보험	유가증권시장상장법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	681,361,000,000	640,556,000,000	611,651,000,000
