symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
270520,01228515,앱튼,2025,2025-12-31,2026-06-18,971.0,19100000000.0,160058822816.0,64874481177.0,95184341639.0,23431066466.0,11156699603.0,16895496082.0,0.82,0.2,24.62,68.16,25,25,25,25,100
299900,01276327,위지윅스튜디오,2025,2025-12-31,2026-06-18,298.0,51000000000.0,242562329443.0,110331848085.0,132230481358.0,41781737653.0,9556606628.0,101995172098.0,1.22,0.39,31.6,83.44,25,25,25,25,100
308100,01181807,형지글로벌,2025,2025-12-31,2026-06-18,587.0,14100000000.0,97127827614.0,38303305348.0,58824522266.0,34488988153.0,8084930328.0,37683290800.0,0.41,0.24,58.63,65.11,25,25,25,25,100
000070,00126937,삼양홀딩스,2025,2025-12-31,2026-06-18,55800.0,433200000000.0,5272055814759.0,2619520717525.0,2652535097234.0,298132876106.0,108765726889.0,3348286833611.0,1.45,0.16,11.24,98.76,25,25,20,25,95
000950,00147222,전방,2025,2025-12-31,2026-06-18,26450.0,44400000000.0,237363693514.0,9867204035.0,227496489479.0,29808576772.0,7314924674.0,40776455996.0,1.49,0.2,13.1,4.34,25,25,20,25,95
004920,00127158,씨아이테크,2025,2025-12-31,2026-06-18,1017.0,53100000000.0,126953652884.0,53719748525.0,73233904359.0,14619113907.0,2001735146.0,41449800518.0,3.63,0.73,19.96,73.35,25,20,25,25,95
005320,00168331,온타이드,2025,2025-12-31,2026-06-18,1089.0,37200000000.0,164052803879.0,59023978147.0,105028825732.0,10711001706.0,1856204617.0,231493980175.0,3.47,0.35,10.2,56.2,25,25,20,25,95
005710,00111874,대원산업,2025,2025-12-31,2026-06-18,10950.0,219400000000.0,757072600835.0,172567029720.0,584505571115.0,76864266074.0,,,2.85,0.38,13.15,29.52,25,25,20,25,95
007700,00126487,F&F 홀딩스,2025,2025-12-31,2026-06-18,16460.0,643800000000.0,4343643804753.0,700781175716.0,3642862629037.0,367905656969.0,434194766171.0,1933800848582.0,1.75,0.18,10.1,19.24,25,25,20,25,95
009970,00140964,영원무역홀딩스,2025,2025-12-31,2026-06-18,182400.0,2362800000000.0,6995703461755.0,1709589395769.0,5286114065986.0,606455450562.0,,,3.9,0.45,11.47,32.34,25,25,20,25,95
