symbol,name,reason
054340,피앤텔,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
054630,에이디칩스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
058530,파나케이아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
062860,티엘아이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
064510,유네코,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
065560,녹원씨엔아이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068060,케이씨더블류,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068400,에스케이렌터카,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
068420,엔터미디어,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
070080,삼보오토,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
071460,위니아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
090120,잘만테크,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
090740,와이앤넥스트,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
091090,세원이앤씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
093230,이아이디,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
096040,이트론,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
102210,트레스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
102280,쌍방울,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
103160,풀무원식품,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
111820,지유온,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
111870,케이에이치미래물산,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
112240,에스에프씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
126870,앤에스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
136510,스마트솔루션즈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
138490,코오롱ENP,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
139050,BF랩스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
148140,비디아이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
150840,인트로메딕,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
151910,퓨처코어,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
160600,이큐셀,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
174880,장원테크,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
194510,넥스쳐,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
204210,스타에스엠리츠,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=7826815"
204630,스튜디오산타클로스엔터테인먼트,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
208340,파멥신,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
214310,로아앤코,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
222810,세토피아,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
226360,케이에이치건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
230980,비유테크놀러지,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
450140,코오롱모빌리티그룹,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
950110,SBI핀테크솔루션즈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
