,Symbol,Name,Industry,IndustryCode
2816,REPH,Recro Pharma Inc,제약,562010
2817,AFBI,Affinity Bancshares Inc,은행,551010
2818,CRWS,Crown Crafts Inc,레저 상품,532050
2819,PLXP,PLx Pharma Inc,생명과학 및 메디컬 리서치,562020
2820,BIOC,Biocept Inc,헬스케어 장비 및 용품,561010
2821,INPX,Inpixon,소프트웨어 및 IT서비스,572010
2822,VERB,Verb Technology Company Inc,소프트웨어 및 IT서비스,572010
2823,ADXS,Advaxis Inc,생명과학 및 메디컬 리서치,562020
2824,GHSI,Guardion Health Sciences Inc,제약,562010
2825,IKT,Inhibikase Therapeutics Inc,생명과학 및 메디컬 리서치,562020
2826,VRDN,Viridian Therapeutics Inc,생명과학 및 메디컬 리서치,562020
2827,WSTG,Wayside Technology Group Inc,"컴퓨터, 전화 및 가전제품",571060
2828,MOHO,Ecmoho Ltd ADR,전문품 상점,534030
2829,TOPS,Top Ships Inc,화물 및 물류 서비스,524050
2830,PFX,Phenixfin Corporation,다양한 금융서비스,555010
2831,NCSM,NCS Multistage Holdings Inc,오일 및 가스 장비 및 서비스,501030
2832,FFBW,Ffbw Inc,은행,551010
2833,ALOT,AstroNova Inc,"컴퓨터, 전화 및 가전제품",571060
2834,UBOH,United Bancshares Inc,은행,551010
2835,PESI,Perma-Fix Environmental Services Inc,전문 및 상업 서비스,522030
2836,ATNF,180 Life Sciences Corp,생명과학 및 메디컬 리서치,562020
2837,CXDC,China XD Plastics Company Ltd,자동차 및 자동차 부품,531010
2838,UBCP,United Bancorp Inc,은행,551010
2839,AMRB,American River Bankshares,은행,551010
2840,GFED,Guaranty Federal Bancshares Inc,은행,551010
2841,ZGYHU,Yunhong International,기타 금융업,556010
2842,ICCC,ImmuCell Corp,생명과학 및 메디컬 리서치,562020
2843,TOMZ,TOMI Environmental Solutions Inc,전문 및 상업 서비스,522030
2844,LSBK,Lake Shore Bancorp Inc,은행,551010
2845,TC,TuanChe Ltd ADR,전문 및 상업 서비스,522030
2846,CWBC,Community West Bancshares,은행,551010
2847,DTSS,Datasea Inc,소프트웨어 및 IT서비스,572010
2848,DGICB,Donegal Group Inc Class B,보험,553010
2849,MBRX,Moleculin Biotech Inc,제약,562010
2850,ADXN,Addex Therapeutics Ltd ADR,생명과학 및 메디컬 리서치,562020
2851,KSPN,Kaspien Holdings Inc,전문품 상점,534030
2852,MCACU,Mountain Crest Acquisition Corp Unit,기타 금융업,556010
2853,EKSO,Ekso Bionics Holdings Inc,헬스케어 장비 및 용품,561010
2854,LNSR,LENSAR Inc,헬스케어 장비 및 용품,561010
2855,GAINL,Gladstone Investment Corp PRF,다양한 금융서비스,555010
2856,AESE,Allied Esports Entertainment Inc,소프트웨어 및 IT서비스,572010
2857,KINS,Kingstone Companies Inc,보험,553010
2858,IMBI,iMedia Brands Inc Class A,전문품 상점,534030
2859,HUDI,Huadi International Group Co.  Ltd.,메탈&마이닝,512010
2860,KMPH,KemPharm Inc,생명과학 및 메디컬 리서치,562020
2861,USAU,US Gold Corp,메탈&마이닝,512010
2862,GEG,Great Elm Group Inc,헬스케어 장비 및 용품,561010
2863,GTEC,Greenland Technologies Holding Corp,자동차 및 자동차 부품,531010
