symbol,price_date,price,market_cap
003780,2026-06-18,5080.0,66000000000.0
003800,2026-06-18,32500.0,360400000000.0
003850,2026-06-18,9310.0,798700000000.0
003920,2026-06-18,43250.0,259500000000.0
003960,2026-06-18,26600.0,243800000000.0
004000,2026-06-18,49300.0,1271900000000.0
004020,2026-06-18,33750.0,4503800000000.0
004060,2026-06-18,2885.0,58400000000.0
004080,2026-06-18,13730.0,129100000000.0
004090,2026-06-18,11660.0,148000000000.0
004100,2026-06-18,2990.0,109700000000.0
004140,2026-06-18,2040.0,97900000000.0
004150,2026-06-18,3525.0,144600000000.0
004170,2026-06-18,749000.0,7074400000000.0
004250,2026-06-18,3130.0,114900000000.0
004270,2026-06-18,6980.0,25300000000.0
004360,2026-06-18,13460.0,257300000000.0
004370,2026-06-18,363000.0,2208000000000.0
004380,2026-06-18,9210.0,190600000000.0
004430,2026-06-18,10240.0,245800000000.0
004450,2026-06-18,25400.0,54700000000.0
004490,2026-06-18,64400.0,892600000000.0
004540,2026-06-18,1587.0,59100000000.0
004560,2026-06-18,13060.0,196900000000.0
004590,2026-06-18,5740.0,86100000000.0
004650,2026-06-18,9160.0,84200000000.0
004690,2026-06-18,121300.0,439900000000.0
004710,2026-06-18,13060.0,530600000000.0
004800,2026-06-18,193600.0,3240900000000.0
004830,2026-06-18,3700.0,58000000000.0
004840,2026-06-18,4340.0,83600000000.0
004890,2026-06-18,35750.0,86700000000.0
004910,2026-06-18,3750.0,48000000000.0
004920,2026-06-18,1017.0,53100000000.0
004960,2026-06-18,11310.0,130900000000.0
004970,2026-06-18,9050.0,144800000000.0
004980,2026-06-18,8750.0,214500000000.0
004990,2026-06-18,26150.0,2606200000000.0
005010,2026-06-18,4630.0,260200000000.0
005090,2026-06-18,54300.0,782400000000.0
005110,2026-06-18,1254.0,26500000000.0
005160,2026-06-18,2605.0,141300000000.0
005180,2026-06-18,67600.0,626600000000.0
005250,2026-06-18,11560.0,543600000000.0
005290,2026-06-18,61800.0,3150000000000.0
005300,2026-06-18,104400.0,968700000000.0
005320,2026-06-18,1089.0,37200000000.0
005360,2026-06-18,1375.0,26000000000.0
005380,2026-06-18,608000.0,124492700000000.0
005420,2026-06-18,12570.0,482800000000.0
005430,2026-06-18,85500.0,270700000000.0
005440,2026-06-18,13920.0,2170200000000.0
005490,2026-06-18,370500.0,29359000000000.0
005610,2026-06-18,40300.0,347700000000.0
005670,2026-06-18,6420.0,64200000000.0
005680,2026-06-18,14020.0,280400000000.0
005710,2026-06-18,10950.0,219400000000.0
005720,2026-06-18,6660.0,349900000000.0
005740,2026-06-18,5890.0,87500000000.0
005750,2026-06-18,4470.0,74200000000.0
005800,2026-06-18,13050.0,117500000000.0
005810,2026-06-18,38450.0,554300000000.0
005820,2026-06-18,14170.0,32600000000.0
005850,2026-06-18,72300.0,3358200000000.0
005860,2026-06-18,2515.0,99100000000.0
005880,2026-06-18,2090.0,674500000000.0
005930,2026-06-18,350250.0,2047659100000000.0
005950,2026-06-18,12960.0,340800000000.0
005960,2026-06-18,6480.0,148700000000.0
005990,2026-06-18,10790.0,143500000000.0
006040,2026-06-18,33000.0,1456600000000.0
006060,2026-06-18,2685.0,148500000000.0
006110,2026-06-18,54900.0,830300000000.0
006120,2026-06-18,46100.0,802800000000.0
006200,2026-06-18,2335.0,21900000000.0
006260,2026-06-18,417500.0,13026000000000.0
006280,2026-06-18,131800.0,1540300000000.0
006340,2026-06-18,12600.0,988000000000.0
006360,2026-06-18,28150.0,2409100000000.0
006370,2026-06-18,4230.0,45800000000.0
006400,2026-06-18,528000.0,42549200000000.0
006490,2026-06-18,298.0,44100000000.0
006570,2026-06-18,1905.0,29000000000.0
006620,2026-06-18,4110.0,117000000000.0
006650,2026-06-18,134300.0,873000000000.0
006660,2026-06-18,11530.0,93700000000.0
006730,2026-06-18,11040.0,716800000000.0
006740,2026-06-18,5550.0,26400000000.0
006840,2026-06-18,6380.0,84500000000.0
006880,2026-06-18,5280.0,62500000000.0
006890,2026-06-18,6330.0,73400000000.0
006920,2026-06-18,3615.0,39500000000.0
006980,2026-06-18,17670.0,54600000000.0
007070,2026-06-18,23600.0,1973100000000.0
007160,2026-06-18,43100.0,215500000000.0
007210,2026-06-18,1624.0,106100000000.0
007310,2026-06-18,326000.0,1306600000000.0
007340,2026-06-18,44150.0,2583300000000.0
007390,2026-06-18,31800.0,2049000000000.0
007460,2026-06-18,2990.0,70500000000.0
007530,2026-06-18,2045.0,45500000000.0
007540,2026-06-18,42400.0,121900000000.0
007570,2026-06-18,8330.0,159000000000.0
007590,2026-06-18,5850.0,79700000000.0
007610,2026-06-18,5730.0,103100000000.0
007660,2026-06-18,122900.0,9022000000000.0
007680,2026-06-18,3740.0,50300000000.0
007690,2026-06-18,36550.0,338500000000.0
007700,2026-06-18,16460.0,643800000000.0
007720,2026-06-18,299.0,30100000000.0
007770,2026-06-18,7340.0,25800000000.0
007810,2026-06-18,140200.0,3362400000000.0
007820,2026-06-18,3445.0,69000000000.0
007860,2026-06-18,8780.0,206200000000.0
007980,2026-06-18,1816.0,85200000000.0
008060,2026-06-18,21150.0,661700000000.0
008250,2026-06-18,2870.0,31400000000.0
008350,2026-06-18,1219.0,157300000000.0
008470,2026-06-18,3270.0,27500000000.0
008490,2026-06-18,18840.0,218000000000.0
008600,2026-06-18,2620.0,17600000000.0
008700,2026-06-18,1260.0,97200000000.0
008730,2026-06-18,18040.0,447400000000.0
008770,2026-06-18,59200.0,2323500000000.0
008870,2026-06-18,40450.0,40500000000.0
008930,2026-06-18,30500.0,2085900000000.0
008970,2026-06-18,1487.0,154300000000.0
009070,2026-06-18,4515.0,135500000000.0
009140,2026-06-18,27050.0,42500000000.0
009150,2026-06-18,2188000.0,163429800000000.0
009160,2026-06-18,4450.0,290900000000.0
009180,2026-06-18,2835.0,79800000000.0
009190,2026-06-18,1760.0,77400000000.0
009200,2026-06-18,1542.0,64200000000.0
009240,2026-06-18,34300.0,807200000000.0
009270,2026-06-18,1135.0,130300000000.0
009290,2026-06-18,6170.0,307300000000.0
009300,2026-06-18,13800.0,87900000000.0
009310,2026-06-18,5330.0,23300000000.0
009320,2026-06-18,948.0,46700000000.0
009410,2026-06-18,1781.0,530000000000.0
009420,2026-06-18,55000.0,2873200000000.0
009440,2026-06-18,756.0,17600000000.0
009450,2026-06-18,70700.0,1030000000000.0
009470,2026-06-18,42900.0,283700000000.0
009540,2026-06-18,420000.0,29724700000000.0
009580,2026-06-18,1785.0,111300000000.0
009620,2026-06-18,593.0,10400000000.0
009680,2026-06-18,10030.0,218000000000.0
009780,2026-06-18,6200.0,109100000000.0
009810,2026-06-18,1938.0,29400000000.0
009830,2026-06-18,38400.0,6600700000000.0
009900,2026-06-18,8480.0,444900000000.0
009970,2026-06-18,182400.0,2362800000000.0
010040,2026-06-18,1590.0,65300000000.0
010060,2026-06-18,276500.0,5162300000000.0
010100,2026-06-18,4235.0,129000000000.0
010120,2026-06-18,245500.0,36825000000000.0
010130,2026-06-18,1222000.0,25506800000000.0
010140,2026-06-18,28200.0,24816000000000.0
010170,2026-06-18,18050.0,2806500000000.0
010240,2026-06-18,5420.0,63400000000.0
010280,2026-06-18,5310.0,69200000000.0
010400,2026-06-18,3710.0,28300000000.0
010470,2026-06-18,4960.0,59400000000.0
010690,2026-06-18,12410.0,433400000000.0
010770,2026-06-18,4240.0,62000000000.0
010780,2026-06-18,24350.0,735100000000.0
010950,2026-06-18,107200.0,12068900000000.0
010960,2026-06-18,3255.0,78500000000.0
011000,2026-06-18,849.0,77200000000.0
011040,2026-06-18,5110.0,157200000000.0
011070,2026-06-18,1269000.0,30033600000000.0
011080,2026-06-18,2745.0,11800000000.0
011090,2026-06-18,1600.0,19000000000.0
011150,2026-06-18,2085.0,74900000000.0
011170,2026-06-18,80000.0,3422000000000.0
011200,2026-06-18,20950.0,19760800000000.0
011210,2026-06-18,80500.0,2189200000000.0
011230,2026-06-18,3740.0,71700000000.0
011280,2026-06-18,2050.0,145200000000.0
011300,2026-06-18,2415.0,40600000000.0
011320,2026-06-18,3975.0,76800000000.0
011330,2026-06-18,396.0,35700000000.0
011370,2026-06-18,874.0,88200000000.0
011390,2026-06-18,50700.0,53500000000.0
011560,2026-06-18,22250.0,224400000000.0
011690,2026-06-18,4335.0,159100000000.0
011700,2026-06-18,3170.0,102900000000.0
011760,2026-06-18,25200.0,333400000000.0
011780,2026-06-18,133700.0,3363500000000.0
011790,2026-06-18,137300.0,6809800000000.0
011810,2026-06-18,3530.0,109500000000.0
011930,2026-06-18,21250.0,431500000000.0
012030,2026-06-18,1911.0,384400000000.0
012160,2026-06-18,376.0,29400000000.0
012170,2026-06-18,1053.0,21300000000.0
012200,2026-06-18,5970.0,162500000000.0
012320,2026-06-18,50400.0,119200000000.0
012330,2026-06-18,615000.0,55800500000000.0
012340,2026-06-18,1068.0,12100000000.0
012450,2026-06-18,1214000.0,62598000000000.0
012510,2026-06-18,120000.0,3494900000000.0
012610,2026-06-18,4100.0,170600000000.0
012620,2026-06-18,7070.0,31100000000.0
012630,2026-06-18,21200.0,1266500000000.0
0126Z0,2026-06-18,450500.0,11209800000000.0
012700,2026-06-18,2935.0,76900000000.0
012750,2026-06-18,72400.0,2751100000000.0
012860,2026-06-18,3080.0,225600000000.0
013030,2026-06-18,35050.0,412500000000.0
013120,2026-06-18,2315.0,210200000000.0
013310,2026-06-18,3080.0,119500000000.0
013360,2026-06-18,1907.0,103000000000.0
013520,2026-06-18,2620.0,131100000000.0
013570,2026-06-18,3975.0,104600000000.0
013580,2026-06-18,20350.0,181700000000.0
013700,2026-06-18,1164.0,69500000000.0
013720,2026-06-18,550.0,33500000000.0
013810,2026-06-18,1930.0,28300000000.0
013870,2026-06-18,3970.0,75700000000.0
013890,2026-06-18,9820.0,215300000000.0
013990,2026-06-18,3870.0,127300000000.0
014100,2026-06-18,1697.0,20000000000.0
014130,2026-06-18,2310.0,27700000000.0
014190,2026-06-18,1386.0,49100000000.0
014280,2026-06-18,4425.0,129800000000.0
014440,2026-06-18,4540.0,90800000000.0
014470,2026-06-18,1161.0,69700000000.0
014530,2026-06-18,3210.0,111900000000.0
014580,2026-06-18,4030.0,111200000000.0
014620,2026-06-18,32800.0,871100000000.0
014680,2026-06-18,298000.0,3281800000000.0
014710,2026-06-18,7400.0,127400000000.0
014790,2026-06-18,2785.0,105400000000.0
014820,2026-06-18,20900.0,605900000000.0
014830,2026-06-18,68700.0,464900000000.0
014910,2026-06-18,2895.0,63300000000.0
014940,2026-06-18,5730.0,261100000000.0
014950,2026-06-18,7090.0,71000000000.0
014970,2026-06-18,5110.0,75800000000.0
014990,2026-06-18,480.0,36100000000.0
015230,2026-06-18,6170.0,167500000000.0
015260,2026-06-18,586.0,27600000000.0
015360,2026-06-18,14950.0,407400000000.0
015590,2026-06-18,2230.0,119100000000.0
015750,2026-06-18,7040.0,563200000000.0
015760,2026-06-18,39900.0,25614400000000.0
015860,2026-06-18,7220.0,356300000000.0
015890,2026-06-18,4720.0,138000000000.0
016100,2026-06-18,1390.0,26600000000.0
016250,2026-06-18,11940.0,60100000000.0
016380,2026-06-18,5720.0,572100000000.0
016450,2026-06-18,4450.0,178000000000.0
016580,2026-06-18,10150.0,188800000000.0
016590,2026-06-18,10100.0,407000000000.0
016740,2026-06-18,4350.0,124700000000.0
016790,2026-06-18,994.0,187300000000.0
016800,2026-06-18,26650.0,306500000000.0
016880,2026-06-18,2185.0,174600000000.0
016920,2026-06-18,931.0,24700000000.0
017180,2026-06-18,1293.0,43900000000.0
017250,2026-06-18,1045.0,22000000000.0
017370,2026-06-18,4675.0,85600000000.0
017390,2026-06-18,56500.0,279700000000.0
017550,2026-06-18,2410.0,150400000000.0
017650,2026-06-18,8740.0,76800000000.0
017670,2026-06-18,97400.0,20920600000000.0
017800,2026-06-18,81200.0,3174300000000.0
017810,2026-06-18,9910.0,377800000000.0
017860,2026-06-18,14160.0,251500000000.0
017890,2026-06-18,12410.0,264000000000.0
017900,2026-06-18,9700.0,562100000000.0
017940,2026-06-18,83900.0,575600000000.0
017960,2026-06-18,33050.0,1707900000000.0
018000,2026-06-18,1025.0,266000000000.0
018120,2026-06-18,17010.0,112600000000.0
018250,2026-06-18,12050.0,318200000000.0
018260,2026-06-18,224500.0,17371300000000.0
018290,2026-06-18,12560.0,438900000000.0
018310,2026-06-18,14730.0,216500000000.0
018500,2026-06-18,1619.0,75700000000.0
018620,2026-06-18,2555.0,14800000000.0
018670,2026-06-18,216500.0,2004200000000.0
018700,2026-06-18,1218.0,14300000000.0
018880,2026-06-18,4680.0,4802900000000.0
019010,2026-06-18,5280.0,254500000000.0
019170,2026-06-18,9060.0,474900000000.0
019180,2026-06-18,7100.0,127800000000.0
019210,2026-06-18,21450.0,797800000000.0
019490,2026-06-18,541.0,41300000000.0
019540,2026-06-18,6290.0,85000000000.0
019570,2026-06-18,296.0,28300000000.0
019680,2026-06-18,1060.0,89800000000.0
019990,2026-06-18,6520.0,63600000000.0
020000,2026-06-18,21550.0,462800000000.0
020120,2026-06-18,3195.0,118400000000.0
020150,2026-06-18,52400.0,2744000000000.0
020560,2026-06-18,7670.0,1579900000000.0
020710,2026-06-18,3860.0,77400000000.0
020760,2026-06-18,902.0,51000000000.0
021040,2026-06-18,1018.0,22100000000.0
021050,2026-06-18,1194.0,56700000000.0
021240,2026-06-18,91300.0,6461100000000.0
021650,2026-06-18,2060.0,33700000000.0
021820,2026-06-18,11710.0,117100000000.0
022100,2026-06-18,26800.0,4074500000000.0
022220,2026-06-18,740.0,38300000000.0
023150,2026-06-18,4200.0,31000000000.0
023160,2026-06-18,32500.0,840700000000.0
023350,2026-06-18,4530.0,49600000000.0
023410,2026-06-18,3470.0,268300000000.0
023440,2026-06-18,521.0,47000000000.0
023530,2026-06-18,198900.0,5626600000000.0
023590,2026-06-18,38250.0,1655700000000.0
023600,2026-06-18,8910.0,142600000000.0
023800,2026-06-18,5700.0,90100000000.0
023810,2026-06-18,5290.0,52900000000.0
023900,2026-06-18,7620.0,96000000000.0
023960,2026-06-18,1046.0,39800000000.0
024070,2026-06-18,1877.0,28800000000.0
024120,2026-06-18,3245.0,37300000000.0
024720,2026-06-18,8170.0,280200000000.0
024740,2026-06-18,2320.0,76300000000.0
024800,2026-06-18,4665.0,172800000000.0
024840,2026-06-18,5230.0,217200000000.0
024850,2026-06-18,14230.0,451900000000.0
024880,2026-06-18,4395.0,88600000000.0
024890,2026-06-18,3945.0,32500000000.0
024900,2026-06-18,1911.0,62200000000.0
024910,2026-06-18,1656.0,59300000000.0
024940,2026-06-18,2315.0,23200000000.0
024950,2026-06-18,3620.0,44900000000.0
025000,2026-06-18,51100.0,223800000000.0
025320,2026-06-18,4520.0,416600000000.0
025440,2026-06-18,730.0,35600000000.0
025530,2026-06-18,3490.0,52100000000.0
025540,2026-06-18,76400.0,772800000000.0
025550,2026-06-18,2665.0,68000000000.0
025560,2026-06-18,45600.0,232100000000.0
025620,2026-06-18,6430.0,117100000000.0
025750,2026-06-18,2025.0,32600000000.0
025770,2026-06-18,7670.0,287200000000.0
025860,2026-06-18,6400.0,317900000000.0
025870,2026-06-18,2850.0,11400000000.0
025880,2026-06-18,2550.0,42600000000.0
025900,2026-06-18,7830.0,395900000000.0
025980,2026-06-18,5070.0,493300000000.0
026150,2026-06-18,4605.0,80800000000.0
026910,2026-06-18,4495.0,33400000000.0
026960,2026-06-18,24950.0,2487500000000.0
027040,2026-06-18,2200.0,30600000000.0
027050,2026-06-18,1457.0,58300000000.0
027410,2026-06-18,4070.0,389600000000.0
027580,2026-06-18,1728.0,20500000000.0
027710,2026-06-18,1082.0,120600000000.0
027740,2026-06-18,1373.0,43600000000.0
027970,2026-06-18,609.0,115800000000.0
028050,2026-06-18,50400.0,9878400000000.0
028080,2026-06-18,6380.0,16200000000.0
028100,2026-06-18,16390.0,219500000000.0
028260,2026-06-18,481500.0,78083700000000.0
028300,2026-06-18,51900.0,6913000000000.0
028670,2026-06-18,5220.0,2790500000000.0
029460,2026-06-18,33450.0,368600000000.0
029480,2026-06-18,1500.0,89600000000.0
029530,2026-06-18,42800.0,415800000000.0
030000,2026-06-18,19560.0,2250200000000.0
030190,2026-06-18,14320.0,843600000000.0
030200,2026-06-18,54900.0,13836000000000.0
030350,2026-06-18,973.0,15200000000.0
030520,2026-06-18,19350.0,467900000000.0
030530,2026-06-18,26750.0,2066100000000.0
030720,2026-06-18,5970.0,27800000000.0
031310,2026-06-18,1060.0,31500000000.0
031330,2026-06-18,16320.0,1631900000000.0
031430,2026-06-18,15240.0,533200000000.0
031440,2026-06-18,43250.0,167500000000.0
031510,2026-06-18,1073.0,30000000000.0
031820,2026-06-18,5840.0,70700000000.0
031860,2026-06-18,693.0,18700000000.0
031980,2026-06-18,120000.0,2587500000000.0
032190,2026-06-18,19650.0,752600000000.0
032350,2026-06-18,17350.0,1381100000000.0
032500,2026-06-18,25250.0,1065300000000.0
032540,2026-06-18,3500.0,73100000000.0
032560,2026-06-18,5380.0,91500000000.0
032620,2026-06-18,3125.0,163100000000.0
032640,2026-06-18,15160.0,6434300000000.0
032680,2026-06-18,871.0,18200000000.0
032750,2026-06-18,2930.0,26500000000.0
032790,2026-06-18,1270.0,32600000000.0
032800,2026-06-18,1934.0,24100000000.0
032820,2026-06-18,15020.0,2577500000000.0
032850,2026-06-18,4170.0,69300000000.0
032940,2026-06-18,7500.0,136400000000.0
032960,2026-06-18,11530.0,40600000000.0
032980,2026-06-18,604.0,18400000000.0
033050,2026-06-18,908.0,28900000000.0
033130,2026-06-18,1943.0,72100000000.0
033160,2026-06-18,30700.0,742800000000.0
033170,2026-06-18,559.0,47900000000.0
033200,2026-06-18,2995.0,27600000000.0
033230,2026-06-18,1261.0,63700000000.0
033240,2026-06-18,33450.0,722700000000.0
033250,2026-06-18,4305.0,27600000000.0
033290,2026-06-18,1680.0,94300000000.0
033310,2026-06-18,1405.0,56200000000.0
033320,2026-06-18,3260.0,62300000000.0
033340,2026-06-18,925.0,89700000000.0
033500,2026-06-18,20000.0,599800000000.0
033530,2026-06-18,6880.0,191400000000.0
033540,2026-06-18,906.0,47300000000.0
033560,2026-06-18,3570.0,61000000000.0
033640,2026-06-18,36400.0,839400000000.0
033780,2026-06-18,184100.0,19111500000000.0
033830,2026-06-18,400.0,40000000000.0
033920,2026-06-18,7750.0,220900000000.0
034020,2026-06-18,103000.0,65977800000000.0
034120,2026-06-18,12810.0,237600000000.0
034220,2026-06-18,13520.0,6760000000000.0
034230,2026-06-18,14860.0,1376500000000.0
034310,2026-06-18,11880.0,436700000000.0
034730,2026-06-18,676000.0,49011800000000.0
034810,2026-06-18,6180.0,195200000000.0
034940,2026-06-18,603.0,18700000000.0
034950,2026-06-18,100800.0,457700000000.0
035000,2026-06-18,7120.0,115400000000.0
035080,2026-06-18,8630.0,98700000000.0
035150,2026-06-18,10380.0,207900000000.0
035200,2026-06-18,2970.0,28900000000.0
035250,2026-06-18,15330.0,3279700000000.0
035420,2026-06-18,237250.0,37221600000000.0
035460,2026-06-18,2680.0,40000000000.0
035510,2026-06-18,15140.0,211700000000.0
035600,2026-06-18,9940.0,273900000000.0
035610,2026-06-18,3545.0,96900000000.0
035620,2026-06-18,985.0,18300000000.0
035720,2026-06-18,39750.0,17599100000000.0
035760,2026-06-18,38150.0,836600000000.0
035810,2026-06-18,4585.0,295800000000.0
035890,2026-06-18,2330.0,535500000000.0
035900,2026-06-18,56300.0,2000500000000.0
036010,2026-06-18,13190.0,175300000000.0
036090,2026-06-18,1369.0,54000000000.0
036120,2026-06-18,1645.0,57800000000.0
036170,2026-06-18,3845.0,236000000000.0
036190,2026-06-18,32600.0,195600000000.0
036200,2026-06-18,11220.0,344100000000.0
036220,2026-06-18,6720.0,96200000000.0
036420,2026-06-18,4995.0,96200000000.0
036460,2026-06-18,35100.0,3240200000000.0
036530,2026-06-18,51000.0,831500000000.0
036540,2026-06-18,7110.0,1169300000000.0
036570,2026-06-18,266250.0,5736100000000.0
036580,2026-06-18,2545.0,93500000000.0
036630,2026-06-18,8340.0,83400000000.0
036640,2026-06-18,4840.0,79200000000.0
036690,2026-06-18,2885.0,125700000000.0
036710,2026-06-18,4970.0,262600000000.0
036800,2026-06-18,28500.0,285000000000.0
036810,2026-06-18,32050.0,693900000000.0
036830,2026-06-18,43850.0,899100000000.0
036890,2026-06-18,15440.0,340200000000.0
036930,2026-06-18,212000.0,9854000000000.0
037030,2026-06-18,5540.0,141300000000.0
037270,2026-06-18,3845.0,244800000000.0
037330,2026-06-18,1098.0,48200000000.0
037350,2026-06-18,9050.0,137700000000.0
037370,2026-06-18,3665.0,31600000000.0
037400,2026-06-18,782.0,20500000000.0
037440,2026-06-18,4930.0,68600000000.0
037460,2026-06-18,41500.0,677200000000.0
037560,2026-06-18,2105.0,163000000000.0
037760,2026-06-18,2465.0,83400000000.0
037950,2026-06-18,2820.0,47600000000.0
038010,2026-06-18,6120.0,55100000000.0
038060,2026-06-18,906.0,43600000000.0
038070,2026-06-18,5060.0,47100000000.0
038110,2026-06-18,2260.0,93000000000.0
038290,2026-06-18,13770.0,149300000000.0
038390,2026-06-18,9950.0,166400000000.0
038460,2026-06-18,2765.0,69900000000.0
038500,2026-06-18,10440.0,1126600000000.0
038530,2026-06-18,909.0,21000000000.0
038540,2026-06-18,2042.0,113000000000.0
038620,2026-06-18,1945.0,29500000000.0
