symbol,name,reason
000010,신한은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
000030,우리은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
000110,한국스탠다드차타드은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
004940,하나은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
005270,아이엠뱅크,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
005280,부산은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
006350,전북은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
016830,한국씨티은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
060000,국민은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
192520,경남은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
192530,광주은행,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
008270,산은캐피탈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
019590,엠벤처투자,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
021960,케이비캐피탈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
032710,신한카드,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
033660,우리금융캐피탈,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001140,국보,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001880,디엘건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001890,에이치디씨영창,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001970,에스지신성건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
003410,쌍용씨앤이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
