symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
000010,,신한은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,556691161000000.0,519926426000000.0,36764735000000.0,3695913000000.0,5059246000000.0,
000030,,우리은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,485888941000000.0,456944053000000.0,28944888000000.0,3046936000000.0,4069308000000.0,
000110,,한국스탠다드차타드은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,85840870000000.0,80259700000000.0,5581170000000.0,331110000000.0,528444000000.0,
004940,,하나은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,532417952000000.0,498174699000000.0,34243253000000.0,3368572000000.0,4546901000000.0,
005270,,아이엠뱅크,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,75318505042889.0,70270945159763.0,5047559883126.0,365069353046.0,445556218237.0,
005280,,부산은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,79338342313293.0,73458780799545.0,5879561513748.0,410627580838.0,452593048153.0,
006220,,제주은행,2024,2024-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,7444771000000.0,6854663000000.0,590108000000.0,10416000000.0,11422000000.0,
006350,,전북은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,25206070000000.0,22882419000000.0,2323651000000.0,218631000000.0,279111000000.0,
016830,,한국씨티은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,41580801000000.0,35895885000000.0,5684916000000.0,311563000000.0,425004000000.0,
024110,,기업은행,2024,2024-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,472219838000000.0,437988747000000.0,34231091000000.0,2654338000000.0,3594087000000.0,
060000,,국민은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,562887180000000.0,524859860000000.0,38027320000000.0,3151402000000.0,5398865000000.0,
192520,,경남은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,52392005661050.0,48742993588779.0,3649012072271.0,310151801239.0,366935476351.0,
192530,,광주은행,2024,2024-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,31003043810640.0,28771253812734.0,2231789997906.0,288342519052.0,377634863535.0,
008270,,산은캐피탈,2024,2024-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,11107709826141.0,9342988231952.0,1764721594189.0,243107644297.0,309140167720.0,
019590,,엠벤처투자,2024,2024-12-31,KRW,finance,금융기타,코스닥시장상장법인,642,신탁업 및 집합 투자업,23678568722.0,4392502487.0,19286066235.0,-33559586175.0,-27869654099.0,
021880,,메이슨캐피탈,2024,2024-03-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,80641687585.0,15327160843.0,65314526742.0,4757784155.0,4297892217.0,20284640607.0
