symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
004250,,엔피씨,2024,2024-12-31,2026-06-19,3010.0,110500000000.0,KRW,general,일반,유가증권시장상장법인,222,플라스틱 제품 제조업,manufacturing,제조업형,플라스틱 제품 제조업,industry,37,577610425954.0,139357329293.0,438253096661.0,75812415320.0,10494660290.0,458265475806.0,1.46,0.25,17.3,31.8,2.29,11.68,0.79,-1.17,79.02,2.43,87.52,67.9,18.47,59.76,-0.14,25,20,20,15,20,25,25,25,25,6.87,100,85.5,100,97.22,97.22,75,35.29,0,82,100
020710,,시공테크,2024,2024-12-31,2026-06-19,3600.0,72200000000.0,KRW,general,일반,코스닥시장상장법인,732,전문 디자인업,general,일반형,일반형,model,573,227193300661.0,69660883794.0,157532416867.0,30473197115.0,6430715556.0,147145562711.0,2.37,0.46,19.34,44.22,4.37,1245.93,17.39,-10.92,157.2,0.09,99.81,97.36,30.26,71.87,4.28,25,25,25,25,0,25,25,25,25,13.11,100,100,95.38,62.37,97.85,72.04,59.26,0,82,100
029480,,광무,2024,2024-12-31,2026-06-19,1441.0,86100000000.0,KRW,general,일반,코스닥시장상장법인,264,통신 및 방송장비 제조업,manufacturing,제조업형,통신 및 방송장비 제조업,industry,49,282270869425.0,49001163131.0,233269706294.0,104172205343.0,-4708785371.0,6526887723.0,0.83,0.37,44.66,21.01,-72.14,17.49,1.63,0.45,82.18,-13.63,95.27,77.35,44.21,74.44,-58.51,25,20,20,15,20,25,25,25,25,0,100,80,100,85.42,97.92,77.08,6.52,0,75,100
035610,,솔본,2024,2024-12-31,2026-06-19,3455.0,94500000000.0,KRW,general,일반,코스닥시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,general,일반형,회사 본부 및 경영 컨설팅 서비스업,industry,11,340724414992.0,55579006088.0,285145408904.0,54349940875.0,21174221428.0,116081151319.0,1.74,0.33,19.06,19.49,18.24,6.16,0.38,3.89,114.3,5.24,71.76,13.29,15.17,82.95,13.0,25,25,25,25,0,25,25,25,25,24.12,100,100,100,30,100,100,100,0,83,100
038010,,제일테크노스,2024,2024-12-31,2026-06-19,5830.0,52500000000.0,KRW,general,일반,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,15,177459517483.0,44757110209.0,132702407274.0,20975529937.0,20689010701.0,183926463645.0,2.5,0.4,15.81,33.73,11.25,16.39,0.88,3.49,101.31,5.47,84.73,55.18,12.32,66.71,5.77,25,20,20,15,20,25,25,25,25,20.63,100,96.5,100,64.29,100,71.43,92.31,0,87,100
046310,,백금T&A,2024,2024-12-31,2026-06-19,2020.0,33200000000.0,KRW,general,일반,코스닥시장상장법인,264,통신 및 방송장비 제조업,manufacturing,제조업형,통신 및 방송장비 제조업,industry,49,132448341513.0,33465794313.0,98982547200.0,17666511720.0,12733328552.0,152492730341.0,1.88,0.34,17.85,33.81,8.35,17.49,1.63,0.45,82.18,-13.63,89.25,79.42,17.4,58.86,21.98,25,20,20,15,20,25,25,25,25,18.35,100,94.68,92.31,89.58,91.67,62.5,89.13,0,87,100
047820,,초록뱀미디어,2024,2024-12-31,2026-06-19,3815.0,93300000000.0,KRW,general,일반,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",general,일반형,"영화, 비디오물, 방송 프로그램 제작 및 배급업",industry,24,359910100530.0,74154398989.0,285755701541.0,45764736527.0,-15381767378.0,210272629603.0,2.04,0.33,16.02,25.95,-7.32,66.41,1.19,-19.19,97.53,-17.65,96.93,72.66,35.21,73.39,10.33,25,25,25,25,0,25,25,25,25,0,100,100,100,78.26,95.65,69.57,59.09,0,86,100
052300,,오션인더블유,2024,2024-12-31,2026-06-19,1439.0,23400000000.0,KRW,general,일반,코스닥시장상장법인,468,상품 종합 도매업,general,일반형,상품 종합 도매업,industry,19,369945245351.0,83641220548.0,286304024803.0,167897891665.0,-3267149530.0,6801851338.0,0.14,0.08,58.64,29.21,-48.03,6.81,1.58,-10.27,176.12,-9.4,97.95,94.84,68.92,83.41,-38.63,25,25,25,25,0,25,25,25,25,0,100,100,100,94.44,100,77.78,13.33,0,93,100
054930,,유신,2024,2024-12-31,2026-06-19,18550.0,55700000000.0,KRW,general,일반,코스닥시장상장법인,721,"건축 기술, 엔지니어링 및 관련 기술 서비스업",general,일반형,"건축 기술, 엔지니어링 및 관련 기술 서비스업",industry,14,293530954823.0,145806561042.0,147724393781.0,24422836243.0,5813013246.0,339578152680.0,2.28,0.38,16.53,98.7,1.71,22.73,2.9,1.38,113.33,-3.32,89.97,87.0,15.16,12.91,5.04,25,25,25,25,0,25,25,25,25,5.13,100,100,100,92.31,76.92,61.54,27.27,0,83,100
064090,,인크레더블버즈,2024,2024-12-31,2026-06-19,798.0,39700000000.0,KRW,general,일반,코스닥시장상장법인,468,상품 종합 도매업,general,일반형,상품 종합 도매업,industry,19,99822167362.0,2992954318.0,96829213044.0,19027885730.0,-3535124234.0,4560824449.0,2.09,0.41,19.65,3.09,-77.51,6.81,1.58,-10.27,176.12,-9.4,69.36,74.13,29.92,98.24,-68.11,25,25,25,25,0,25,25,25,25,0,100,100,90.91,61.11,83.33,100,0,0,84,100
